Week,Day,Session,Exercise,Prescription,Rest_s,RPE_Target,Cues,Log_Weight,Log_Reps,Log_Symptoms_0_10,Log_Notes
1,Lunes,Fuerza Lower 1 (acond.),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,5-6,Respira; sin prisa; rango cómodo,,,,
,,Fuerza Lower 1 (acond.),Prensa,2x10-12,90-150,5-6,Exhala al empujar; rodillas siguen la punta del pie,,,,
,,Fuerza Lower 1 (acond.),Peso muerto rumano (mancuernas),2x8-10,90-150,5-6,Espalda neutra; cadera atrás; sin tirón en ingle,,,,
,,Fuerza Lower 1 (acond.),Hip thrust / Puente,2x12,90-120,5-6,Pausa 1s arriba; glúteo,no lumbar,,,
,,Fuerza Lower 1 (acond.),Abductores (máquina),2x15,60-90,5-6,Controlado; 1s al abrir,,,,
,,Fuerza Lower 1 (acond.),Aductor squeeze (toalla/bola),2x30-40s,45-60,5-6,Suave; sin dolor; siente aductores,,,,
,,Fuerza Lower 1 (acond.),Pallof press (polea),2x10-12 c/lado,45-60,5-6,Anti-rotación; costillas abajo,,,,
,,Fuerza Lower 1 (acond.),Salida,2-3 min respiración diafragmática + estiramiento suave,,5-6,Exhalación larga; relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro/escápula,,5-6,Activa escápulas; sin dolor,,,,
,,Fuerza Upper 1 (acond.),Press inclinado (máquina o mancuernas),2x10-12,90-150,5-6,Exhala al subir; hombros abajo,,,,
,,Fuerza Upper 1 (acond.),Remo sentado (polea),2x10-12,90-150,5-6,Pecho alto; lleva codos atrás,,,,
,,Fuerza Upper 1 (acond.),Jalón al pecho,2x10-12,90-150,5-6,No balanceo; baja al pecho alto,,,,
,,Fuerza Upper 1 (acond.),Elevación lateral,2x12-15,60-90,5-6,Control; sin encoger trapecio,,,,
,,Fuerza Upper 1 (acond.),Face pull (polea),2x12-15,60-90,5-6,Codos altos; aprieta espalda alta,,,,
,,Fuerza Upper 1 (acond.),Tríceps cuerda,2x12-15,60-90,5-6,Codos fijos; control,,,,
,,Fuerza Upper 1 (acond.),Curl bíceps (mancuerna/máquina),2x12-15,60-90,5-6,Sin balanceo; control,,,,
